Number of Elements, Run 1, Run 2, Run 3, Run 4, Run 5
100000,0.016,
200000,0.011,
300000,0.006,
400000,0.008,
500000,0.015,
600000,0.006,
700000,0.019,
800000,0.008,
900000,0.016,
1000000,0.042,
1100000,0.014,
1200000,0.056,
1300000,0.019,
1400000,0.026,
1500000,0.034,
1600000,0.038,
1700000,0.019,
1800000,0.02,
1900000,0.038,
2000000,0.02,
list, 
100000,0.459,
200000,0.462,
300000,0.494,
400000,0.499,
500000,0.504,
600000,0.52,
700000,0.54,
800000,0.561,
900000,0.588,
1000000,0.604,
1100000,0.62,
1200000,0.635,
1300000,0.65,
1400000,0.664,
1500000,0.679,
1600000,0.697,
1700000,0.715,
1800000,0.734,
1900000,0.762,
2000000,0.816,
100000,0.002,
200000,0.004,
300000,0.011,
400000,0.01,
500000,0.009,
600000,0.015,
700000,0.016,
800000,0.015,
900000,0.017,
1000000,0.017,
1100000,0.06,
1200000,0.014,
1300000,0.012,
1400000,0.013,
1500000,0.017,
1600000,0.019,
1700000,0.019,
1800000,0.021,
1900000,0.023,
2000000,0.021,
list, 
100000,1.16,
200000,1.162,
300000,1.164,
400000,1.168,
500000,1.173,
600000,1.18,
700000,1.186,
800000,1.197,
900000,1.216,
1000000,1.226,
1100000,1.238,
1200000,1.249,
1300000,1.264,
1400000,1.277,
1500000,1.29,
1600000,1.312,
1700000,1.328,
1800000,1.346,
1900000,1.376,
2000000,1.432,
100000,0.002,
200000,0.003,
300000,0.004,
400000,0.006,
500000,0.004,
600000,0.007,
700000,0.01,
800000,0.01,
900000,0.008,
1000000,0.008,
1100000,0.011,
1200000,0.012,
1300000,0.015,
1400000,0.014,
1500000,0.013,
1600000,0.014,
1700000,0.016,
1800000,0.016,
1900000,0.019,
2000000,0.017,
list, 
100000,1.645,
200000,1.647,
300000,1.65,
400000,1.654,
500000,1.66,
600000,1.666,
700000,1.673,
800000,1.683,
900000,1.693,
1000000,1.704,
1100000,1.716,
1200000,1.732,
1300000,1.747,
1400000,1.76,
1500000,1.775,
1600000,1.795,
1700000,1.812,
1800000,1.829,
1900000,1.849,
2000000,1.874,
100000,0.001,
200000,0.001,
300000,0.003,
400000,0.004,
500000,0.004,
600000,0.007,
700000,0.009,
800000,0.011,
900000,0.01,
1000000,0.011,
1100000,0.012,
1200000,0.012,
1300000,0.012,
1400000,0.02,
1500000,0.013,
1600000,0.017,
1700000,0.021,
1800000,0.019,
1900000,0.027,
2000000,0.028,
list, 
100000,2.12,
200000,2.122,
300000,2.125,
400000,2.129,
500000,2.134,
600000,2.139,
700000,2.146,
800000,2.153,
900000,2.161,
1000000,2.17,
1100000,2.18,
1200000,2.191,
1300000,2.205,
1400000,2.219,
1500000,2.236,
1600000,2.252,
1700000,2.267,
1800000,2.283,
1900000,2.305,
2000000,2.325,
100000,0.001,
200000,0.002,
300000,0.003,
400000,0.003,
500000,0.004,
600000,0.011,
700000,0.01,
800000,0.008,
900000,0.008,
1000000,0.009,
1100000,0.012,
1200000,0.013,
1300000,0.018,
1400000,0.014,
1500000,0.015,
1600000,0.015,
1700000,0.015,
1800000,0.016,
1900000,0.017,
2000000,0.025,
list, 
100000,2.55,
200000,2.552,
300000,2.555,
400000,2.559,
500000,2.564,
600000,2.569,
700000,2.581,
800000,2.594,
900000,2.604,
1000000,2.614,
1100000,2.626,
1200000,2.641,
1300000,2.657,
1400000,2.672,
1500000,2.689,
1600000,2.712,
1700000,2.729,
1800000,2.752,
1900000,2.771,
2000000,2.791,
